chembl_id	accession	pref_name	organism
CHEMBL1744526	P16671	Platelet glycoprotein 4	Homo sapiens
CHEMBL3259490	P16675	Lysosomal protective protein	Mus musculus
CHEMBL3771	P16753	Human herpes virus 5 capsid protein P40	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)
CHEMBL4100	P16885	Phospholipase C-gamma-2	Homo sapiens
CHEMBL1744489	P16897	Beta-lactamase PSE-4	Pseudomonas aeruginosa
CHEMBL2176797	P16951	Cyclic AMP-dependent transcription factor ATF-2	Mus musculus
CHEMBL3132	P17050	Alpha-galactosidase B	Homo sapiens
CHEMBL3232688	P17066	Heat shock 70 kDa protein 6	Homo sapiens
CHEMBL3261	P17105	Inositol-trisphosphate 3-kinase A	Rattus norvegicus
CHEMBL5589	P17157	Cyclin-dependent protein kinase PHO85	Saccharomyces cerevisiae S288c
CHEMBL2111355	P17157	Pho80/Pho85	Saccharomyces cerevisiae S288c
CHEMBL2111410	P17157	Pho80/Pho85/Pho81 complex	Saccharomyces cerevisiae S288c
CHEMBL2710	P17164	Alpha-L-fucosidase I	Rattus norvegicus
CHEMBL2189139	P17174	Aspartate aminotransferase, cytoplasmic	Homo sapiens
CHEMBL1887	P17181	Interferon-alpha/beta receptor alpha chain	Homo sapiens
CHEMBL2364170	P17181	Interferon alpha/beta receptor	Homo sapiens
CHEMBL299	P17252	Protein kinase C alpha	Homo sapiens
CHEMBL2093867	P17252	Protein kinase C (PKC)	Homo sapiens
CHEMBL2096620	P17252	Protein kinase C, PKC; classical/novel	Homo sapiens
CHEMBL3137267	P17252	PKC alpha and beta-2	Homo sapiens
CHEMBL4274	P17256	Mevalonate kinase	Rattus norvegicus
CHEMBL3713	P17289	Tyrosine 3-hydroxylase	Bos taurus
CHEMBL4998	P17301	Integrin alpha-2	Homo sapiens
CHEMBL2111461	P17301	Integrin alpha-2/beta-3	Homo sapiens
CHEMBL3137268	P17301	Integrin alpha2/beta1	Homo sapiens
CHEMBL3341579	P17325	Transcription factor AP-1	Rattus norvegicus
CHEMBL2247	P17342	Atrial natriuretic peptide receptor C	Homo sapiens
CHEMBL2111337	P17342	Atrial natriuretic peptide receptor	Homo sapiens
CHEMBL2760	P17405	Sphingomyelin phosphodiesterase	Homo sapiens
CHEMBL2189	P17425	HMG-CoA synthase	Rattus norvegicus
CHEMBL2278	P17439	Beta-glucocerebrosidase	Mus musculus
CHEMBL1250353	P17442	Phosphate system positive regulatory protein PHO81	Saccharomyces cerevisiae S288c
CHEMBL2111410	P17442	Pho80/Pho85/Pho81 complex	Saccharomyces cerevisiae S288c
CHEMBL3596078	P17443	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	Escherichia coli (strain K12)
CHEMBL4999	P17516	Aldo-keto reductase family 1 member C4	Homo sapiens
CHEMBL4796	P17538	Beta-chymotrypsin	Homo sapiens
CHEMBL2363065	P17568	Mitochondrial complex I (NADH dehydrogenase)	Homo sapiens
CHEMBL4263	P17597	Acetolactate synthase	Arabidopsis thaliana
CHEMBL4101	P17612	cAMP-dependent protein kinase alpha-catalytic subunit	Homo sapiens
CHEMBL2094138	P17612	cAMP-dependent protein kinase (PKA)	Homo sapiens
CHEMBL3350223	P17644	Nicotinic acetylcholine receptor	Drosophila melanogaster
CHEMBL2382	P17655	Calpain 2	Homo sapiens
CHEMBL3038466	P17655	Calpain1/2	Homo sapiens
CHEMBL5279	P17658	Voltage-gated potassium channel subunit Kv1.6	Homo sapiens
CHEMBL2362996	P17658	Voltage-gated potassium channel	Homo sapiens
CHEMBL3807	P17706	T-cell protein-tyrosine phosphatase	Homo sapiens
CHEMBL4181	P17707	S-adenosylmethionine decarboxylase 1	Homo sapiens
CHEMBL3808	P17708	S-adenosylmethionine decarboxylase 1	Rattus norvegicus
CHEMBL3882	P17712	Hexokinase type IV	Rattus norvegicus
CHEMBL3043	P17735	Tyrosine aminotransferase	Homo sapiens
CHEMBL5689	P17752	Tryptophan 5-hydroxylase 1	Homo sapiens
CHEMBL1883	P17787	Neuronal acetylcholine receptor protein beta-2 subunit	Homo sapiens
CHEMBL1907589	P17787	Neuronal acetylcholine receptor; alpha4/beta2	Homo sapiens
CHEMBL2109233	P17787	Neuronal acetylcholine receptor; alpha3/alpha6/beta2/beta3	Homo sapiens
CHEMBL2109234	P17787	Neuronal acetylcholine receptor; alpha3/beta2	Homo sapiens
CHEMBL2109236	P17787	Neuronal acetylcholine receptor; alpha2/beta2	Homo sapiens
CHEMBL2109237	P17787	Neuronal acetylcholine receptor; alpha6/beta2	Homo sapiens
CHEMBL2111384	P17787	Nicotinic acetylcholine receptor alpha3/betaX	Homo sapiens
CHEMBL2221346	P17787	Neuronal acetylcholine receptors; alpha-3/beta-4, alpha-5, beta-2	Homo sapiens
CHEMBL3038458	P17787	Nicotinic acetylcholine receptor alpha2/beta2	Homo sapiens
CHEMBL3038461	P17787	Nicotinic acetylcholine receptor alpha4/beta2/alpha5	Homo sapiens
CHEMBL3137272	P17787	Nicotinic acetylcholine receptor alpha3/beta2/alpha5	Homo sapiens
CHEMBL1075037	P17811	Coagulase/fibrinolysin	Yersinia pestis
CHEMBL1741176	P17861	X-box-binding protein 1	Homo sapiens
CHEMBL5690	P17865	Cell division protein ftsZ	Bacillus subtilis (strain 168)
CHEMBL4531	P17931	Galectin-3	Homo sapiens
CHEMBL3997	P17936	Insulin-like growth factor binding protein 3	Homo sapiens
CHEMBL1868	P17948	Vascular endothelial growth factor receptor 1	Homo sapiens
CHEMBL2095227	P17948	Vascular endothelial growth factor receptor	Homo sapiens
CHEMBL2111480	P17948	Vascular endothelial growth factor receptor 1 and 2 (Flt-1 and KDR)	Homo sapiens
CHEMBL5168	P17952	UDP-N-acetylmuramate--L-alanine ligase	Escherichia coli K-12
CHEMBL4886	P17988	Aryl sulfotransferase	Rattus norvegicus
CHEMBL335	P18031	Protein-tyrosine phosphatase 1B	Homo sapiens
CHEMBL3687	P18054	Arachidonate 12-lipoxygenase	Homo sapiens
CHEMBL2366468	P18063	G2/mitotic-specific cyclin-B	Asterina pectinifera
CHEMBL3088	P18065	Insulin-like growth factor binding protein 2	Homo sapiens
CHEMBL2096675	P18084	Integrin alpha-V/beta-5	Homo sapiens
CHEMBL3758	P18088	Glutamate decarboxylase 67 kDa isoform	Rattus norvegicus
CHEMBL1942	P18089	Alpha-2b adrenergic receptor	Homo sapiens
CHEMBL2095158	P18089	Adrenergic receptor alpha-2	Homo sapiens
CHEMBL2095203	P18089	Adrenergic receptor alpha	Homo sapiens
CHEMBL2331074	P18089	Adrenergic receptor	Homo sapiens
CHEMBL3252	P18090	Beta-1 adrenergic receptor	Rattus norvegicus
CHEMBL2095166	P18090	Adrenergic receptor beta	Rattus norvegicus
CHEMBL3917	P18113	Thyroid hormone receptor beta-1	Rattus norvegicus
CHEMBL2339	P18125	Cytochrome P450 7A1	Rattus norvegicus
CHEMBL4892	P18130	Alpha-1a adrenergic receptor	Bos taurus
CHEMBL2111420	P18130	Cerebral cortex alpha adrenergic receptor	Bos taurus
CHEMBL3616355	P18146	Early growth response protein 1	Homo sapiens
CHEMBL1075224	P18265	Glycogen synthase kinase-3 alpha	Rattus norvegicus
CHEMBL3669	P18266	Glycogen synthase kinase-3 beta	Rattus norvegicus
CHEMBL3078	P18292	Thrombin	Rattus norvegicus
CHEMBL2838	P18298	S-adenosylmethionine synthetase gamma form	Rattus norvegicus
CHEMBL2111450	P18298	S-adenosylmethionine synthetase (MAT 1 and MAT 2)	Rattus norvegicus
CHEMBL3162	P18337	Leukocyte adhesion molecule-1	Mus musculus
CHEMBL1787	P18405	Steroid 5-alpha-reductase 1	Homo sapiens
CHEMBL2363075	P18405	Steroid 5-alpha-reductase	Homo sapiens
CHEMBL4369	P18417	Strictosidine synthase	Catharanthus roseus
CHEMBL3918	P18433	Receptor-type tyrosine-protein phosphatase alpha	Homo sapiens
CHEMBL2538	P18434	Potassium-transporting ATPase beta chain	Sus scrofa
CHEMBL2095228	P18434	Potassium-transporting ATPase	Sus scrofa
CHEMBL5101	P18440	Arylamine N-acetyltransferase 1	Homo sapiens
CHEMBL5691	P18493	Poly [ADP-ribose] polymerase 1	Bos taurus
CHEMBL2093872	P18505	GABA-A receptor; anion channel	Homo sapiens
CHEMBL2109244	P18505	GABA-A receptor; agonist GABA site	Homo sapiens
CHEMBL2111392	P18505	GABA A receptor alpha-1/beta-1/gamma-2	Homo sapiens
CHEMBL1907607	P18506	GABA-A receptor; anion channel	Rattus norvegicus
CHEMBL2096683	P18506	Benzodiazepine receptors; peripheral & central	Rattus norvegicus
CHEMBL2093872	P18507	GABA-A receptor; anion channel	Homo sapiens
CHEMBL2109243	P18507	GABA-A receptor; benzodiazepine site	Homo sapiens
CHEMBL2094120	P18507	GABA-A receptor; alpha-3/beta-3/gamma-2	Homo sapiens
CHEMBL2094121	P18507	GABA-A receptor; alpha-1/beta-3/gamma-2	Homo sapiens
CHEMBL2094122	P18507	GABA-A receptor; alpha-5/beta-3/gamma-2	Homo sapiens
CHEMBL2094130	P18507	GABA-A receptor; alpha-2/beta-3/gamma-2	Homo sapiens
CHEMBL2095172	P18507	GABA-A receptor; alpha-1/beta-2/gamma-2	Homo sapiens
CHEMBL2095190	P18507	GABA-A receptor; alpha-6/beta-3/gamma-2	Homo sapiens
CHEMBL2111339	P18507	GABA A receptor alpha-3/beta-2/gamma-2	Homo sapiens
CHEMBL2111366	P18507	GABA A receptor alpha-4/beta-3/gamma-2	Homo sapiens
CHEMBL2111370	P18507	GABA A receptor alpha-6/beta-2/gamma-2	Homo sapiens
CHEMBL2111392	P18507	GABA A receptor alpha-1/beta-1/gamma-2	Homo sapiens
CHEMBL2111413	P18507	GABA A receptor alpha-2/beta-2/gamma-2	Homo sapiens
CHEMBL1907607	P18508	GABA-A receptor; anion channel	Rattus norvegicus
CHEMBL2095167	P18508	GABA-A receptor; alpha-1/beta-2/gamma-2	Rattus norvegicus
CHEMBL2096683	P18508	Benzodiazepine receptors; peripheral & central	Rattus norvegicus
CHEMBL2111327	P18508	GABA A receptor alpha-2/beta-2/gamma-2	Rattus norvegicus
CHEMBL2111343	P18508	GABA A receptor alpha-3/beta-2/gamma-2	Rattus norvegicus
CHEMBL2111365	P18508	GABA A receptor alpha-6/beta-2/gamma-2	Rattus norvegicus
CHEMBL2111374	P18508	GABA A receptor alpha-5/beta-3/gamma-2	Rattus norvegicus
CHEMBL5692	P18509	Pituitary adenylate cyclase-activating polypeptide	Homo sapiens
CHEMBL5693	P18539	Beta-lactamase	Serratia marcescens
CHEMBL2095220	P18545	Phosphodiesterases; PDE5 & PDE6	Homo sapiens
CHEMBL2097163	P18545	Phosphodiesterase 6	Homo sapiens
CHEMBL2363066	P18545	3',5'-cyclic phosphodiesterase	Homo sapiens
CHEMBL2111416	P18564	Integrin alpha-V/beta-6	Homo sapiens
CHEMBL4771	P18598	Potassium-transporting ATPase beta chain	Rattus norvegicus
CHEMBL2095199	P18598	Potassium-transporting ATPase	Rattus norvegicus
CHEMBL3297641	P18654	Ribosomal protein S6 kinase alpha-3	Mus musculus
CHEMBL3334418	P18669	Phosphoglycerate mutase 1	Homo sapiens
CHEMBL3707	P18762	Beta-2 adrenergic receptor	Mus musculus
CHEMBL2111395	P18762	Beta-adrenergic receptor	Mus musculus
CHEMBL1916	P18825	Alpha-2c adrenergic receptor	Homo sapiens
CHEMBL2095158	P18825	Adrenergic receptor alpha-2	Homo sapiens
CHEMBL2095203	P18825	Adrenergic receptor alpha	Homo sapiens
CHEMBL2331074	P18825	Adrenergic receptor	Homo sapiens
CHEMBL3122	P18841	Alpha-1b adrenergic receptor	Mesocricetus auratus
CHEMBL3255	P18846	Activating transcription factor 1	Homo sapiens
CHEMBL5694	P18858	DNA ligase 1	Homo sapiens
CHEMBL1075084	P18870	Transcription factor AP-1	Gallus gallus
CHEMBL2350	P18871	Alpha-2a adrenergic receptor	Sus scrofa
CHEMBL4037	P18886	Carnitine palmitoyltransferase 2	Rattus norvegicus
CHEMBL2331068	P18894	D-amino-acid oxidase	Mus musculus
CHEMBL265	P18901	Dopamine D1 receptor	Rattus norvegicus
CHEMBL2093868	P18901	Dopamine receptor	Rattus norvegicus
CHEMBL2096910	P18901	Dopamine receptors; D1 & D2	Rattus norvegicus
CHEMBL4177	P18911	Retinoic acid receptor gamma	Mus musculus
CHEMBL2096971	P18915	Carbonic anhydrase	Bos taurus
CHEMBL3138	P19020	Dopamine D3 receptor	Rattus norvegicus
CHEMBL2093868	P19020	Dopamine receptor	Rattus norvegicus
CHEMBL2111342	P19020	Dopamine receptor D2 and D3	Rattus norvegicus
CHEMBL2544	P19021	Peptidyl-glycine alpha-amidating monooxygenase	Homo sapiens
CHEMBL1697669	P19022	Cadherin-2	Homo sapiens
CHEMBL3056	P19091	Androgen Receptor	Mus musculus
CHEMBL1795189	P19096	Fatty acid synthase	Mus musculus
CHEMBL2722	P19099	Cytochrome P450 11B2	Homo sapiens
CHEMBL5695	P19111	Intestinal alkaline phosphatase	Bos taurus
CHEMBL4391	P19112	Fructose-1,6-bisphosphatase	Rattus norvegicus
CHEMBL1275213	P19120	Heat shock cognate 71 kDa protein	Bos taurus
CHEMBL3919	P19156	Potassium-transporting ATPase alpha chain 1	Sus scrofa
CHEMBL2095228	P19156	Potassium-transporting ATPase	Sus scrofa
CHEMBL3964	P19174	Phospholipase C-gamma-1	Homo sapiens
CHEMBL2021757	P19205	Acylamino-acid-releasing enzyme	Sus scrofa
CHEMBL2244	P19217	Estrogen sulfotransferase	Bos taurus
CHEMBL1075308	P19221	Thrombin	Mus musculus
CHEMBL1743316	P19224	UDP-glucuronosyltransferase 1-6	Homo sapiens
CHEMBL1817	P19235	Erythropoietin receptor	Homo sapiens
CHEMBL3790	P19256	Lymphocyte function-associated antigen 3, CD58	Homo sapiens
CHEMBL3735	P19320	Vascular cell adhesion protein 1	Homo sapiens
CHEMBL1163113	P19324	Serpin H1	Mus musculus
CHEMBL273	P19327	Serotonin 1a (5-HT1a) receptor	Rattus norvegicus
CHEMBL2097171	P19327	Serotonin 1a (5-HT1a) receptor/Adrenergic receptor alpha-1	Rattus norvegicus
CHEMBL2094123	P19327	Serotonin (5-HT) receptor	Rattus norvegicus
CHEMBL2095159	P19327	Serotonin 1 (5-HT1) receptor	Rattus norvegicus
CHEMBL266	P19328	Alpha-2b adrenergic receptor	Rattus norvegicus
CHEMBL2093864	P19328	Adrenergic receptor alpha-2	Rattus norvegicus
CHEMBL2094111	P19328	Adrenergic receptor alpha	Rattus norvegicus
CHEMBL1075117	P19332	Microtubule-associated protein tau	Rattus norvegicus
CHEMBL3286066	P19357	Solute carrier family 2, facilitated glucose transporter member 4	Rattus norvegicus
CHEMBL2688	P19367	Hexokinase type I	Homo sapiens
CHEMBL2363065	P19404	Mitochondrial complex I (NADH dehydrogenase)	Homo sapiens
CHEMBL4453	P19419	ETS domain protein Elk-1	Homo sapiens
CHEMBL2095202	P19429	Troponin, cardiac muscle	Homo sapiens
CHEMBL3378	P19438	Tumor necrosis factor receptor R1	Homo sapiens
CHEMBL5696	P19440	Gamma-glutamyltranspeptidase 1	Homo sapiens
CHEMBL2366469	P19468	Glutamate--cysteine ligase catalytic subunit	Rattus norvegicus
CHEMBL3753	P19490	Glutamate receptor ionotropic, AMPA 1	Rattus norvegicus
CHEMBL2093871	P19490	Glutamate receptor ionotropic, AMPA	Rattus norvegicus
CHEMBL2096669	P19490	Glutamate receptors; NMDA/AMPA	Rattus norvegicus
CHEMBL3503	P19491	Glutamate receptor ionotropic, AMPA 2	Rattus norvegicus
CHEMBL2093871	P19491	Glutamate receptor ionotropic, AMPA	Rattus norvegicus
CHEMBL2096669	P19491	Glutamate receptors; NMDA/AMPA	Rattus norvegicus
CHEMBL3504	P19492	Glutamate receptor ionotropic, AMPA 3	Rattus norvegicus
CHEMBL2093871	P19492	Glutamate receptor ionotropic, AMPA	Rattus norvegicus
CHEMBL2096669	P19492	Glutamate receptors; NMDA/AMPA	Rattus norvegicus
CHEMBL3505	P19493	Glutamate receptor ionotropic, AMPA 4	Rattus norvegicus
CHEMBL2093871	P19493	Glutamate receptor ionotropic, AMPA	Rattus norvegicus
CHEMBL2096669	P19493	Glutamate receptors; NMDA/AMPA	Rattus norvegicus
CHEMBL5785	P19525	Interferon-induced, double-stranded RNA-activated protein kinase	Homo sapiens
CHEMBL2396504	P19550	Envelope glycoprotein gp160	Human immunodeficiency virus type 1 group M subtype B (isolate SF162)(HIV-1)
CHEMBL5786	P19602	Leukotriene A-4 hydrolase	Cavia porcellus
CHEMBL6107	P19621	Neprilysin	Sus scrofa
CHEMBL4232	P19623	Spermidine synthase	Homo sapiens
CHEMBL2781	P19634	Sodium/hydrogen exchanger 1	Homo sapiens
CHEMBL2993	P19643	Monoamine oxidase B	Rattus norvegicus
CHEMBL2095196	P19643	Monoamine oxidase	Rattus norvegicus
CHEMBL5958	P19652	Alpha-1-acid glycoprotein 2	Homo sapiens
CHEMBL3549	P19754	Adenylate cyclase type I	Bos taurus
CHEMBL4070	P19784	Casein kinase II alpha (prime)	Homo sapiens
CHEMBL2095191	P19784	Casein kinase II	Homo sapiens
CHEMBL3065	P19785	Estrogen receptor alpha	Mus musculus
CHEMBL2094113	P19785	Estrogen receptor	Mus musculus
CHEMBL2061	P19793	Retinoid X receptor alpha	Homo sapiens
CHEMBL2111394	P19793	RXR alpha/PPAR gamma	Homo sapiens
CHEMBL2363070	P19793	Retinoid X receptor	Homo sapiens
CHEMBL2363071	P19793	Retinoid receptor	Homo sapiens
CHEMBL2118	P19801	Diamine oxidase	Homo sapiens
CHEMBL3564	P19821	Taq polymerase 1	Thermus aquaticus
CHEMBL3219	P19835	Cholesterol esterase	Homo sapiens
CHEMBL3251	P19838	Nuclear factor NF-kappa-B p105 subunit	Homo sapiens
CHEMBL2094258	P19838	Nuclear factor NF-kappa-B complex	Homo sapiens
CHEMBL3286076	P19875	C-X-C motif chemokine 2	Homo sapiens
CHEMBL1907607	P19969	GABA-A receptor; anion channel	Rattus norvegicus
CHEMBL300	P19969	GABA receptor alpha-5 subunit	Rattus norvegicus
CHEMBL2096683	P19969	Benzodiazepine receptors; peripheral & central	Rattus norvegicus
CHEMBL2111374	P19969	GABA A receptor alpha-5/beta-3/gamma-2	Rattus norvegicus
CHEMBL3106	P19971	Thymidine phosphorylase	Homo sapiens
CHEMBL3243917	P19992	3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase	Streptomyces exfoliatus
CHEMBL2111355	P20052	Pho80/Pho85	Saccharomyces cerevisiae S288c
CHEMBL2111410	P20052	Pho80/Pho85/Pho81 complex	Saccharomyces cerevisiae S288c
CHEMBL2176811	P20059	Hemopexin	Rattus norvegicus
CHEMBL2363076	P20083	Topoisomerase IV	Bacteria
CHEMBL3329081	P20083	DNA topoisomerase 4 subunit B	Escherichia coli K-12
CHEMBL1842	P20138	Myeloid cell surface antigen CD33	Homo sapiens
CHEMBL2136	P20142	Pepsinogen C	Homo sapiens
CHEMBL2442	P20151	Kallikrein 2	Homo sapiens
CHEMBL2366581	P20153	Ecdysone receptor	Drosophila melanogaster
CHEMBL1907607	P20236	GABA-A receptor; anion channel	Rattus norvegicus
CHEMBL328	P20236	GABA receptor alpha-3 subunit	Rattus norvegicus
CHEMBL2096683	P20236	Benzodiazepine receptors; peripheral & central	Rattus norvegicus
CHEMBL2111343	P20236	GABA A receptor alpha-3/beta-2/gamma-2	Rattus norvegicus
CHEMBL2094107	P20237	GABA-A receptor; anion channel	Bos taurus
CHEMBL2582	P20248	Cyclin A2	Homo sapiens
CHEMBL2094128	P20248	Cyclin-dependent kinase 2/cyclin A	Homo sapiens
CHEMBL3038467	P20248	CDK1/Cyclin A	Homo sapiens
CHEMBL3038469	P20248	CDK2/Cyclin A	Homo sapiens
CHEMBL5243	P20264	Homeobox protein Brn-1	Homo sapiens
CHEMBL4189	P20265	Homeobox protein Brn-2	Homo sapiens
CHEMBL3571	P20272	Cannabinoid CB1 receptor	Rattus norvegicus
CHEMBL2111385	P20272	Cannabinoid receptor	Rattus norvegicus
CHEMBL3218	P20273	CD22	Homo sapiens
CHEMBL3998	P20288	Dopamine D2 receptor	Bos taurus
CHEMBL2096970	P20288	Dopamine receptor	Bos taurus
CHEMBL1921661	P20291	Arachidonate 5-lipoxygenase-activating protein	Rattus norvegicus
CHEMBL4550	P20292	5-lipoxygenase activating protein	Homo sapiens
CHEMBL2111402	P20292	5-lipoxygenase/FLAP	Homo sapiens
CHEMBL245	P20309	Muscarinic acetylcholine receptor M3	Homo sapiens
CHEMBL2094109	P20309	Muscarinic acetylcholine receptor	Homo sapiens
CHEMBL2095187	P20309	Muscarinic acetylcholine receptors; M2 & M3	Homo sapiens
CHEMBL2111418	P20309	Muscarinic acetylcholine receptor M1 and M3	Homo sapiens
CHEMBL1250356	P20333	Tumor necrosis factor receptor superfamily member 1B	Homo sapiens
CHEMBL5787	P20352	Tissue factor	Mus musculus
CHEMBL1961783	P20393	Nuclear receptor subfamily 1 group D member 1	Homo sapiens
CHEMBL4288	P20395	Follicle stimulating hormone receptor	Rattus norvegicus
CHEMBL2371	P20417	Protein-tyrosine phosphatase 1B	Rattus norvegicus
CHEMBL2094110	P20420	Neuronal acetylcholine receptor	Rattus norvegicus
CHEMBL2567	P20444	Protein kinase C alpha	Mus musculus
CHEMBL4505	P20456	Inositol-1(or 4)-monophosphatase 1	Bos taurus
CHEMBL2111337	P20594	Atrial natriuretic peptide receptor	Homo sapiens
CHEMBL4208	P20618	Proteasome component C5	Homo sapiens
CHEMBL2364701	P20618	26S proteosome	Homo sapiens
CHEMBL5788	P20645	Cation-dependent mannose-6-phosphate receptor	Homo sapiens
CHEMBL2095173	P20648	Potassium-transporting ATPase	Homo sapiens
CHEMBL1803	P20701	Leukocyte adhesion glycoprotein LFA-1 alpha	Homo sapiens
CHEMBL2096661	P20701	Intercellular adhesion molecule (ICAM-1), Integrin alpha-L/beta-2	Homo sapiens
CHEMBL2364172	P20701	Integrin alpha-L/beta-2 (LFA-1)	Homo sapiens
CHEMBL1843	P20711	DOPA decarboxylase	Homo sapiens
CHEMBL3392921	P20781	Glycine receptor	Rattus norvegicus
CHEMBL3137264	P20782	Nicotinic acetylcholine receptor alpha1/beta1/epsilon/delta	Mus musculus
CHEMBL2111344	P20786	Platelet-derived growth factor receptor (PDGFr)	Rattus norvegicus
CHEMBL3027	P20789	Neurotensin receptor 1	Rattus norvegicus
CHEMBL1163106	P20794	Serine/threonine-protein kinase MAK	Homo sapiens
CHEMBL4729	P20813	Cytochrome P450 2B6	Homo sapiens
CHEMBL3509596	P20814	Cytochrome P450 2C13, male-specific	Rattus norvegicus
CHEMBL3019	P20815	Cytochrome P450 3A5	Homo sapiens
CHEMBL2111472	P20815	Cytochrome P450 3A4/3A5	Homo sapiens
CHEMBL2364675	P20815	Cytochrome P450 3A	Homo sapiens
CHEMBL3038482	P20831	DNA gyrase	Staphylococcus aureus
CHEMBL1822	P20839	Inosine-5'-monophosphate dehydrogenase 1	Homo sapiens
CHEMBL2111369	P20839	Inosine-5'-monophosphate dehydrogenase (IMPDH)	Homo sapiens
CHEMBL4085	P20852	Cytochrome P450 2A5	Mus musculus
CHEMBL2364188	P20908	Collagen	Homo sapiens
CHEMBL5807	P20916	Myelin-associated glycoprotein	Homo sapiens
CHEMBL1250416	P20917	Myelin-associated glycoprotein	Mus musculus
CHEMBL1075299	P20918	Plasminogen	Mus musculus
CHEMBL2155	P20961	Plasminogen activator inhibitor-1	Rattus norvegicus
CHEMBL5808	P21127	PITSLRE serine/threonine-protein kinase CDC2L1	Homo sapiens
CHEMBL3559691	P21127	Cyclin-dependent kinase	Homo sapiens
CHEMBL2852	P21139	Alpha-mannosidase 2C1	Rattus norvegicus
CHEMBL3269	P21217	Galactoside 3(4)-L-fucosyltransferase	Homo sapiens
CHEMBL2757	P21236	rRNA adenine N-6-methyltransferase	Streptococcus pneumoniae
CHEMBL2242	P21266	Glutathione S-transferase Mu 3	Homo sapiens
CHEMBL2384894	P21275	Bone morphogenetic protein 4	Mus musculus
CHEMBL5641	P21281	V-type proton ATPase subunit B, brain isoform	Homo sapiens
CHEMBL3358	P21396	Monoamine oxidase A	Rattus norvegicus
CHEMBL2095196	P21396	Monoamine oxidase	Rattus norvegicus
CHEMBL1951	P21397	Monoamine oxidase A	Homo sapiens
CHEMBL2095205	P21397	Monoamine oxidase	Homo sapiens
CHEMBL3254	P21398	Monoamine oxidase A	Bos taurus
CHEMBL2111399	P21398	Monoamine oxidase	Bos taurus
CHEMBL1743129	P21439	Multidrug resistance protein 3	Homo sapiens
CHEMBL2573	P21447	P-glycoprotein 3	Mus musculus
CHEMBL2111404	P21447	P-glycoprotein 1 and 3 (MDR1a/MDR1b)	Mus musculus
CHEMBL2806	P21450	Endothelin receptor ET-A	Bos taurus
CHEMBL4631	P21451	Endothelin receptor ET-B	Rattus norvegicus
CHEMBL2111453	P21451	Endothelin receptor	Rattus norvegicus
CHEMBL2327	P21452	Neurokinin 2 receptor	Homo sapiens
CHEMBL4333	P21453	Sphingosine 1-phosphate receptor Edg-1	Homo sapiens
CHEMBL2363041	P21453	Sphingosine 1-phosphate receptor	Homo sapiens
CHEMBL3359	P21462	Formyl peptide receptor 1	Homo sapiens
CHEMBL3038479	P21462	fMet-Leu-Phe receptor 1/2	Homo sapiens
CHEMBL218	P21554	Cannabinoid CB1 receptor	Homo sapiens
CHEMBL2096981	P21554	Cannabinoid receptor	Homo sapiens
CHEMBL3301387	P21554	Cannabinoid CB1 receptor/orexin receptor 1 complex	Homo sapiens
CHEMBL2587	P21555	Neuropeptide Y receptor type 1	Rattus norvegicus
CHEMBL5136	P21556	Platelet activating factor receptor	Cavia porcellus
CHEMBL5596	P21567	Alpha-amylase	Saccharomycopsis fibuligera
CHEMBL1075191	P21575	Dynamin-1	Rattus norvegicus
CHEMBL2346489	P21583	Kit ligand	Homo sapiens
CHEMBL1075214	P21588	5'-nucleotidase	Rattus norvegicus
CHEMBL5957	P21589	5'-nucleotidase	Homo sapiens
CHEMBL2686	P21643	Tryptophan 2,3-dioxygenase	Rattus norvegicus
CHEMBL4286	P21673	Spermidine/spermine N(1)-acetyltransferase 1	Homo sapiens
CHEMBL3217390	P21675	Transcription initiation factor TFIID subunit 1	Homo sapiens
CHEMBL2285356	P21687	Lycopene cyclase	Pantoea ananas
CHEMBL5809	P21708	Mitogen-activated protein kinase 3	Rattus norvegicus
CHEMBL2111356	P21708	Mitogen-activated protein kinase 1 and 3 (ERK2 and ERK1)	Rattus norvegicus
CHEMBL5810	P21709	Ephrin type-A receptor 1	Homo sapiens
CHEMBL2363043	P21709	Ephrin receptor	Homo sapiens
CHEMBL2056	P21728	Dopamine D1 receptor	Homo sapiens
CHEMBL2096905	P21728	Dopamine receptor	Homo sapiens
CHEMBL2111341	P21728	Dopamine D1 and D2 receptor	Homo sapiens
CHEMBL3596	P21729	Gastrin releasing peptide receptor	Mus musculus
CHEMBL2373	P21730	C5a anaphylatoxin chemotactic receptor	Homo sapiens
CHEMBL2069	P21731	Thromboxane A2 receptor	Homo sapiens
CHEMBL1949490	P21741	Midkine	Homo sapiens
CHEMBL5811	P21757	Macrophage scavenger receptor types I and II	Homo sapiens
CHEMBL2467	P21761	Thyrotropin-releasing hormone receptor	Mus musculus
CHEMBL3286071	P21781	Fibroblast growth factor 7	Homo sapiens
CHEMBL4142	P21802	Fibroblast growth factor receptor 2	Homo sapiens
CHEMBL2095217	P21802	Fibroblast growth factor receptor	Homo sapiens
CHEMBL2111434	P21802	VEGF-receptor 2 and Fibroblast growth factor receptor 2	Homo sapiens
